skill_key,canonical_skill,skill_category,sector_key,aliases
TECH_PYTHON,Python,Technical,TECH,python|py|python3|python 3
TECH_JAVA,Java,Technical,TECH,java|java se|java ee
TECH_JS,JavaScript,Technical,TECH,javascript|js|node.js|nodejs|expressjs|express.js
TECH_TS,TypeScript,Technical,TECH,typescript|ts
TECH_GO,Go,Technical,TECH,go|golang
TECH_RUST,Rust,Technical,TECH,rust|rustlang
TECH_CPP,C++,Technical,TECH,c\+\+|cpp|c plus plus
TECH_CSHARP,C#,Technical,TECH,c#|csharp|c-sharp
TECH_SQL,SQL,Technical,TECH,sql|structured query language|tsql|plsql|mysql|postgresql|sqlite
TECH_HTML_CSS,HTML/CSS,Technical,TECH,html|css|html5|css3
TECH_AWS,AWS,Technical,TECH,aws|amazon web services|amazon cloud|s3|ec2|rds
TECH_AZURE,Azure,Technical,TECH,azure|microsoft azure|active directory
TECH_GCP,GCP,Technical,TECH,gcp|google cloud|google cloud platform|bigquery
TECH_DOCKER,Docker,Technical,TECH,docker|containerization|containers
TECH_K8S,Kubernetes,Technical,TECH,kubernetes|k8s|container orchestration
TECH_TERRAFORM,Terraform,Technical,TECH,terraform|infrastructure as code|iac
TECH_ANSIBLE,Ansible,Technical,TECH,ansible|configuration management
TECH_JENKINS,Jenkins,Technical,TECH,jenkins|ci/cd|cicd|continuous integration
TECH_GIT,Git,Technical,TECH,git|github|gitlab|version control
TECH_REACT,React,Technical,TECH,react|reactjs|react.js
TECH_ANGULAR,Angular,Technical,TECH,angular|angularjs|angular.js
TECH_VUE,Vue,Technical,TECH,vue|vuejs|vue.js
TECH_DJANGO,Django,Technical,TECH,django|django framework
TECH_FLASK,Flask,Technical,TECH,flask|flask framework
TECH_SPRING,Spring,Technical,TECH,spring|spring boot|spring framework
TECH_LARAVEL,Laravel,Technical,TECH,laravel
TECH_SPARK,Apache Spark,Technical,TECH,spark|apache spark|pyspark|spark sql
TECH_KAFKA,Apache Kafka,Technical,TECH,kafka|apache kafka|event streaming
TECH_AIRFLOW,Apache Airflow,Technical,TECH,airflow|apache airflow|dag
TECH_DBT,dbt,Technical,TECH,dbt|data build tool
TECH_PANDAS,Pandas,Technical,TECH,pandas
TECH_NUMPY,NumPy,Technical,TECH,numpy
TECH_SKLEARN,Scikit-learn,Technical,TECH,scikit-learn|sklearn
TECH_TENSORFLOW,TensorFlow,Technical,TECH,tensorflow|tf
TECH_PYTORCH,PyTorch,Technical,TECH,pytorch
TECH_SNOWFLAKE,Snowflake,Technical,TECH,snowflake|snowflake db
TECH_DATABRICKS,Databricks,Technical,TECH,databricks|lakehouse
HEAL_PATIENT_CARE,Patient Care,Clinical,HEAL,patient care|bedside care|nursing care|patient comfort
HEAL_EMR,Electronic Medical Records,Technical,HEAL,emr|ehr|electronic health records|epic|cerner|meditech
HEAL_MED_CODE,Medical Coding,Operations,HEAL,medical coding|icd-10|cpt|hcpcs|medical billing
HEAL_NURSING,Nursing,Clinical,HEAL,nursing|rn skills|clinical nursing|bedside nursing
HEAL_HIPAA,HIPAA Compliance,Operations,HEAL,hipaa|hipaa compliance|patient privacy|medical privacy
HEAL_CPR,CPR,Clinical,HEAL,cpr|cardiopulmonary resuscitation
HEAL_BLS,Basic Life Support,Clinical,HEAL,bls|basic life support|bls certification
HEAL_PATIENT_ASSESS,Patient Assessment,Clinical,HEAL,patient assessment|clinical assessment|nursing assessment
HEAL_MED_ADMIN,Medication Administration,Clinical,HEAL,medication administration|med pass|administering medication
HEAL_PHLEBOTOMY,Phlebotomy,Clinical,HEAL,phlebotomy|blood draw|venipuncture
HEAL_WOUND_CARE,Wound Care,Clinical,HEAL,wound care|wound dressing|wound management
HEAL_PATIENT_ED,Patient Education,Clinical,HEAL,patient education|discharge teaching
HEAL_VITAL_SIGNS,Vital Signs,Clinical,HEAL,vital signs|vitals|blood pressure|temperature|heart rate
HEAL_MED_TERM,Medical Terminology,Operations,HEAL,medical terminology|medical vocab
HEAL_CLIN_COMP,Clinical Compliance,Operations,HEAL,clinical compliance|healthcare compliance|joint commission
HOSP_REV_MGT,Revenue Management,Operations,HOSP,revenue management|yield management|pricing strategy
HOSP_PMS,Property Management Systems,Technical,HOSP,pms|property management system|opera|maestro|amadeus
HOSP_FRONT_OFF,Front Office Operations,Operations,HOSP,front office|guest services|reception operations|front desk
HOSP_FOOD_SAFE,Food Safety,Operations,HOSP,food safety|servsafe|haccp|food handling|sanitation
HOSP_GUEST_REL,Guest Relations,Operations,HOSP,guest relations|guest service|customer relations|hospitality
HOSP_CONCIERGE,Concierge Services,Operations,HOSP,concierge|guest assistance|concierge services
HOSP_EVENT_PLAN,Event Planning,Operations,HOSP,event planning|event management|banquet coordination
HOSP_HOUSEKEEPING,Housekeeping Operations,Operations,HOSP,housekeeping|cleaning|laundry operations|room cleaning
HOSP_CULINARY,Culinary Arts,Operations,HOSP,culinary arts|cooking|food prep|kitchen skills
HOSP_MENU_ENG,Menu Engineering,Operations,HOSP,menu engineering|menu planning|recipe development
HOSP_INV_CTRL,Inventory Control,Operations,HOSP,inventory control|food cost|beverage cost|stock management
HOSP_BARTENDING,Bartending,Operations,HOSP,bartending|mixology|beverage service|bar operations
HOSP_POS,POS Systems,Technical,HOSP,pos|point of sale|micros|toast|pos systems
HOSP_KIT_MGT,Kitchen Management,Operations,HOSP,kitchen management|kitchen operations|back of house|boh
RETAIL_INV,Inventory Management,Operations,RETAIL,inventory management|stock control|merchandising|stocking
RETAIL_POS,POS Systems,Technical,RETAIL,pos|point of sale|retail systems|cash register
RETAIL_MERCH,Visual Merchandising,Operations,RETAIL,merchandising|visual merchandising|product display
RETAIL_LOSS_PREV,Loss Prevention,Operations,RETAIL,loss prevention|shrinkage control|security
RETAIL_CUST_SERV,Customer Service,Operations,RETAIL,customer service|customer relations|client service
RETAIL_CASH_HAND,Cash Handling,Operations,RETAIL,cash handling|cashiering|reconciliation
RETAIL_STORE_OPS,Store Operations,Operations,RETAIL,store operations|shop management|retail operations
RETAIL_SALES,Retail Sales,Operations,RETAIL,retail sales|sales associate|floor sales
RETAIL_SHOPIFY,Shopify,Technical,RETAIL,shopify|e-commerce platform|online store
